request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,13448.18,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 13,448.18 is available today, the full amount cannot be completed safely within 90 days."
request_96,75674.08,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1491.72,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,28558.79,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,5724.36,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 5,724.36 is available today, the full amount cannot be completed safely within 90 days."
request_104,8956.78,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 17,204 request. Although ZAR 8,956.78 is available today, the full amount cannot be completed safely within 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,459.28,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2509.87,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,2943.79,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 2,943.79 is available today, the full amount cannot be completed safely within 90 days."
request_109,823.94,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 October 2026. None of the available options keeps the INR 82,300 minimum protected."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,14307.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,14399.18,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 14,399.18 is available today, the full amount cannot be completed safely within 90 days."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,687.09,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,59086.59,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1398.42,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,153112.15,affordable_later,wait,2026-09-15:159600,2026-09-15,none,"Pay INR 159,600 in full on 15 September 2026. Paying earlier would take the balance below the INR 129,700 minimum."
request_127,10707.62,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980 in full on 15 September 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,152.34,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 152.34 is available today, the full amount cannot be completed safely within 90 days."
request_130,450.27,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1187.7,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,5490572.87,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,34163.59,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,847.56,affordable_with_plan,partial_payment,2026-04-07:847.56|2026-04-15:409.38,2026-04-15,none,"Pay EUR 847.56 today and the remaining EUR 409.38 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1408.64,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,2606.09,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 2,606.09 is available today, the full amount cannot be completed safely within 90 days."
request_141,31623.37,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 31,623.37 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,3120.63,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,45561.77,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-15,none,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,16090.82,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 16,090.82 is available today, the full amount cannot be completed safely within 90 days."
request_147,552.26,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,9337.51,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,24716.47,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,369.34,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11521.16,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,290.69,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 290.69 is available today, the full amount cannot be completed safely within 90 days."
request_154,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,9554.01,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,5722575.75,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,7871751.87,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,2563267.19,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 2,563,267.19 is available today, the full amount cannot be completed safely within 90 days."
request_163,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,46732.19,affordable_with_plan,partial_payment,2026-01-07:46732.19|2026-01-15:2647.81,2026-01-15,none,"Pay INR 46,732.19 today and the remaining INR 2,647.81 on 15 January 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,6815.02,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 41,976 request. Although ZAR 6,815.02 is available today, the full amount cannot be completed safely within 90 days."
request_170,31533245.52,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,64.91,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 64.91 is available today, the full amount cannot be completed safely within 90 days."
request_172,9901.01,affordable_with_plan,partial_payment,2024-06-05:9901.01|2024-06-15:298.99,2024-06-15,none,"Pay ZAR 9,901.01 today and the remaining ZAR 298.99 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,106.75,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 106.75 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,8081059.97,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,554.84,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 554.84 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,441.81,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
